id,file_path,status,error,cid,created_at,updated_at
1,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/03b_loyalty_questionnaire_reference.md,Success,"",bafkreie5iozzwcoxplew7q5txongqtgmprrkh5db34rn2wjdde5i5jmggm,2026-04-07 16:04:06.399954,2026-04-07 16:04:07.904522
2,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/George H.W. Bush apology ddr-csujad-55-920-mezzanine-876acef80a.pdf,Success,"",bafkreiannmy4v74xufrkfanx5ujif4c5ngo2wifz4m5m7kkm7owqipp6li,2026-04-07 16:04:07.624108,2026-04-07 16:04:08.864744
3,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/05_personal_justice_denied_ch5_assembly_centers.pdf,Success,"",bafkreicfnv5vzhevrnmr5lvumw5x4y52fjtdbqrgjh4pfdakmsmavdra2a,2026-04-07 16:04:09.008721,2026-04-07 16:04:10.087536
4,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/camp_incidents_timeline.md,Success,"",bafkreiflza4vmtjf4ymeza44lgz2qoif7aune5i4vv5tee6h4skelplole,2026-04-07 16:04:09.788345,2026-04-07 16:04:11.075295
5,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/MANIFEST.txt,Success,"",bafkreidpplifjia2qjnsghc7uic2t7d7ucv3nolungp5zg2zwp7lcbvkge,2026-04-07 16:04:10.234485,2026-04-07 16:04:11.506257
6,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/civil_liberties_act_1988_pl100_383.pdf,Success,"",bafkreiendwiqsnejrhtrfkfqn5yv76lfz6soyqnjfoqdxkpfbuugehs22y,2026-04-07 16:04:11.208062,2026-04-07 16:04:12.484065
7,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/civilian_exclusion_order_no1_bainbridge_island.jpg,Success,"",bafkreicc7j5jy6xvlunticeb6hthee6sw53wmnto4wwsh5nh47t5k5nc54,2026-04-07 16:04:12.927079,2026-04-07 16:04:14.165803
8,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/civilian_exclusion_order_no5_san_francisco.jpg,Success,"",bafkreie2d5a5yfrmsrvoicu4e6z3vwcqe5qehqpdtjduyhlszq4hjsackm,2026-04-07 16:04:18.479904,2026-04-07 16:04:20.280825
10,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/02496_2003 FDR signed EO 9066.pdf,Success,"",bafkreie75p67snq4t324oslvetxvqhluq4rd6wdkbgpphnjbnvim3wbagy,2026-04-07 16:04:23.180403,2026-04-07 16:04:24.852176
11,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/proclamation_4417_rescission_extract.pdf,Success,"",bafkreia37p4zr7fzemejsfn3ipnzejqurrgf7dbop5g252hm3uflnzxqt4,2026-04-07 16:04:24.231399,2026-04-07 16:04:25.958263
13,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/03_dss_form_304a_loyalty_questionnaire.pdf,Success,"",bafkreibyaujj24jvhb6ymp6pvjz755n5ajcoyc3axawymfmsbdcwalbzxu,2026-04-07 16:04:24.619545,2026-04-07 16:04:26.363067
12,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/dewitt_final_report_japanese_evacuation.pdf,Success,"",bafkreid3hcobvnoerrquz3pcudnttzceygru5upg7d4lo362pb23f22kg4,2026-04-07 16:04:24.284503,2026-04-07 16:04:26.977774
14,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tanforan/MANIFEST.txt,Success,"",bafkreib3v6gq4n4kdihfqgenpn45jjkz6wieualyyw37nemizxe3iaif3q,2026-04-07 16:04:25.619316,2026-04-07 16:04:26.987594
9,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/cwric_personal_justice_denied_full.pdf,Success,"",bafkreiagn2dvmpkcq6tqmvjyd3j52boslwget344tvqpxyxpvg5fc2oize,2026-04-07 16:04:23.034252,2026-04-07 16:04:26.997813
15,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/topaz/MANIFEST.txt,Success,"",bafkreicqn34weg7iksaa55spq43ys3m5hlztfmcnyyggrprpjtn53tocb4,2026-04-07 16:04:26.74689,2026-04-07 16:04:27.941903
16,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/eo_9066_federal_register_feb25_1942.pdf,Success,"",bafkreidojfwy334kzjfqkj3p2s53bmw6m6ndyzyxrfoln7f4h2ryahe4v4,2026-04-07 16:04:29.854784,2026-04-07 16:04:31.96253
17,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/videos/challenge_to_democracy_1944_wra.mp4,Success,"",bafkreiat3duqj3tmg67hb3txg2kjfcsz3ehzypyvxu3ogs2cbkpszpqfeq,2026-04-07 16:04:34.132554,2026-04-07 16:04:37.331593
18,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/videos/VIDEO_MANIFEST.txt,Success,"",bafkreib255yumjkedrlkik77ifatjkuaiw5erynidj6psrmjalfqkzfc6y,2026-04-07 16:04:38.704844,2026-04-07 16:04:39.934202
20,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/01_lange_i_am_an_american.jpg,Success,"",bafkreien6p6of7yvprjjwofonpgyaayrikog6jadqtvuf3ecfxxwv6cede,2026-04-07 16:04:39.727509,2026-04-07 16:04:41.064474
19,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/authentication_documents_relevant_to_all_scenes/videos/japanese_relocation_1943_wra.mp4,Success,"",bafkreifkpfh22yc65vee6qhao3ei3ienw6adqliie4kh5vpyd4u7dkkjhi,2026-04-07 16:04:38.903597,2026-04-07 16:04:41.407854
21,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/05_omca_21_1240M_crop.jpg,Success,"",bafkreicnwtw7cm4ibbh5js7t6mafpp7qfchzuqec7y2bcy5xqx6ort5ffq,2026-04-07 16:04:40.416206,2026-04-07 16:04:42.033666
22,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/MANIFEST.txt,Success,"",bafkreig2jh7rkc7wogtwxepaoliynrcvqqlfuwb5pkydmu6vghayqb6fpy,2026-04-07 16:04:40.686912,2026-04-07 16:04:42.04278
23,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/04_omca_21_1240M.jpg,Success,"",bafkreibnkedohmojwvji2habktnicvdyhkfuzpmnyi3ghcmdkwqskbvrnu,2026-04-07 16:04:46.170394,2026-04-07 16:04:47.331828
24,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/10_japanese_american_grocer_1942.jpg,Success,"",bafkreib76ks2f2ssc5q5djkkt6plerq36d5pymzfpdgcch2lbg6cue4hw4,2026-04-07 16:04:46.745995,2026-04-07 16:04:48.041329
25,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/09_img_1667.webp,Success,"",bafkreihmfn5lyqj7mdhr5uvfopqsexggmogjdzzzopqswfmvuulvypczbq,2026-04-07 16:04:47.794517,2026-04-07 16:04:49.063443
26,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/12_gila_river_empty_barracks_1945.jpg,Success,"",bafkreietrpcud5vjfozdkojuyv4vmj7mwtwa37exlnpb7mfo7utxopmpvq,2026-04-07 16:04:48.442443,2026-04-07 16:04:49.691415
27,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/14_gila_river_farm_machinery_1945.jpg,Success,"",bafkreibspc34aazusmqc76ja2kyz2qm3gvxfxvslujyt2bwnzft5kbfkaa,2026-04-07 16:04:49.558617,2026-04-07 16:04:50.869485
28,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/13_gila_river_ration_board_1945.jpg,Success,"",bafkreiganqsrlxryv5ag2em4lw3xhzttdkh4df3ak7u67gufhys6wafuzu,2026-04-07 16:04:55.061711,2026-04-07 16:04:56.13497
31,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/18_gila_river_dog_preparation_1944.jpg,Success,"",bafkreid24kighiicnwvq24gesoiskfjmi3q5gdek53553wuodgew32rk4q,2026-04-07 16:05:03.939828,2026-04-07 16:05:05.378502
29,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/07_omca_lange_variant_crop.jpg,Success,"",bafkreianh74k66bwnj5qvhj5avssswbav2uiayledq2vfkmaobbqlzoevm,2026-04-07 16:04:55.224264,2026-04-07 16:04:56.649559
30,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/16_gila_river_spinach_harvest_1942.jpg,Success,"",bafkreifahxbk6ba6kus6po5cmsficdkkfovlk4nsw2zbro3i3y4s7mvodm,2026-04-07 16:04:55.962565,2026-04-07 16:04:57.090267
32,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/19_gila_river_eleanor_roosevelt_1943.jpg,Success,"",bafkreiajlduflsd5qfznp43ijnrn22fzsp5hlzmr7rt5kjxvpeil7qe4uy,2026-04-07 16:05:04.812868,2026-04-07 16:05:06.171486
33,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/PHOTO_MANIFEST.txt,Success,"",bafkreifdlztulyjexvjwmhjpwzplbdqayiald6vxxdywgkfqnklrd6i4p4,2026-04-07 16:05:05.507749,2026-04-07 16:05:06.902299
34,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/15_gila_river_ration_books_1945.jpg,Success,"",bafkreicfupxnojcaubcwaayz5453vgk45x4dvsvmiz5xrhltjmhr3sbkpq,2026-04-07 16:05:06.916539,2026-04-07 16:05:08.153769
35,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/endo_mitsuye_portrait.jpg,Success,"",bafkreihch2vmm3eovdvorasngl7amkouoet7vjxsivwcocz5ffy4psmjlm,2026-04-07 16:05:07.26213,2026-04-07 16:05:09.425971
36,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/17_gila_river_travel_grant_1945.jpg,Success,"",bafkreigpbb6vcmshjuwsrm526gj27us2cke5egzs46w227pu3fqr7jhbeu,2026-04-07 16:05:07.808291,2026-04-07 16:05:09.436206
37,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/photos/11_uof7po5w0kbfo7q5.jpg,Success,"",bafkreif7mnyfjedqbzjyxi6oobppo5xaujsn3lcahgce4dfbsfhkduyciq,2026-04-07 16:05:09.082412,2026-04-07 16:05:11.471639
